claim_id,concept,source_artifact,source_selector,authoritative_raw_value,manuscript_rendered_value,manuscript_location,parity_status
CLM_01_COHORT_TOTAL,Total processed cohort scenarios and frames,REPRODUCIBILITY_MANIFEST_V5.json,total_scenarios_available,"18445 scenarios, 1674495 frames","18,445 scenarios (1.67M frames)","Abstract, Sec 1, Sec 4",EXACT_MATCH
CLM_02_SPLIT_COUNTS,Scenario-disjoint split partition counts,REPRODUCIBILITY_MANIFEST_V5.json,split_counts,"train=12828, val=2813, dev=15641, holdout=2804","15,641 development (12,828 train + 2,813 val) / 2,804 holdout (255,164 frames)","Abstract, Sec 1, Sec 4, Table 1",EXACT_MATCH
CLM_03_MP_HOLDOUT_AP,M_P Physical baseline holdout Average Precision,TABLE1_NESTED_MODELS_V6.csv,model_id=='M_P'.holdout_pr_auc,0.3223501058,0.3224,"Abstract, Sec 1, Sec 5, Table 1",EXACT_MATCH
CLM_04_MPEALL_HOLDOUT_AP,M_{P+E_all} Primary full context holdout Average Precision,TABLE1_NESTED_MODELS_V6.csv,model_id=='M_P_Eall'.holdout_pr_auc,0.3370011790,0.3370,"Abstract, Sec 1, Sec 5, Table 1",EXACT_MATCH
CLM_05_PRIMARY_DELTA_AP,Primary full context increment vs baseline,TABLE1_NESTED_MODELS_V6.csv,model_id=='M_P_Eall'.delta_pr_auc_vs_phys,0.0146510732,"+0.0147 (+1.47%p, +4.55% relative)","Abstract, Sec 1, Sec 5, Table 1",EXACT_MATCH
CLM_06_PRIMARY_CI,95% paired scenario-block bootstrap CI for primary Delta AP,TABLE1_NESTED_MODELS_V6.csv,"model_id=='M_P_Eall'.[ci_lower_95, ci_upper_95]","[0.0005446066, 0.0285107759]","[+0.0005, +0.0285]","Abstract, Sec 1, Sec 5, Table 1",EXACT_MATCH
CLM_07_SECONDARY_DELTA_AP,Secondary interaction model increment vs baseline,TABLE1_NESTED_MODELS_V6.csv,model_id=='M_P_Einteract'.delta_pr_auc_vs_phys,0.0161121967,+0.0161,"Abstract, Sec 1, Sec 6, Table 1",EXACT_MATCH
CLM_08_SECONDARY_CI,95% paired scenario-block bootstrap CI for interaction Delta AP,TABLE1_NESTED_MODELS_V6.csv,"model_id=='M_P_Einteract'.[ci_lower_95, ci_upper_95]","[0.0056772646, 0.0263955002]","[+0.0057, +0.0264]","Abstract, Sec 1, Sec 6, Table 1",EXACT_MATCH
CLM_09_FEATURE_CONFIRMATION,Candidate feature strict confirmation and sign concordance,TABLE3_FEATURE_CONFIRMATION_V6.csv,confirmed_status / dev_holdout_sign_concordant,"10/13 strict confirmation (76.9%), 13/13 sign concordance (100%)","10/13 strict confirmation (76.9%), 13/13 sign concordance (100%)","Sec 5, Fig 3, Table S1",EXACT_MATCH
CLM_10_TEMPORAL_ANCHOR,Closing pressure sum temporal associations,TABLE4_REPAIRED_SCENARIO_EFFECTS_V6.csv,feature_name=='...closing_pressure_sum',"frame=+0.1712, Peak=+0.1914, AUC=+0.2345, TET=+0.0728","frame +0.1712, target Peak +0.1914, target AUC +0.2345, target TET3 +0.0728","Abstract, Sec 6, Table S2",EXACT_MATCH
CLM_11_KPI_CORRECTED,Within-dataset vehicle-response KPI construct validity,KPI_CONSTRUCT_VALIDITY_V6.csv,spearman_rho / cohens_d,"hard_decel: rho=+0.1347, d=+0.3451; min_accel: rho=-0.1248, d=-0.1013; drac_p95: rho=+0.0498, d=-0.0946","hard_decel: rho=+0.1347, d=+0.3451; min_accel: rho=-0.1248, d=-0.1013; drac_p95: rho=+0.0498, d=-0.0946","Sec 7, Table S4",EXACT_MATCH
